27.01.2018 00:20:26: TOKEN [qaj4vx6wj5nkt418sx] FOR reinnss(76561198120447448) OWNER: 11, ID: 1.34843e+009, JIP: true
27.01.2018 00:25:17: TOKEN [jyhd5z4o8880ea9] FOR Coulter(76561198117441080) OWNER: 12, ID: 1.00215e+009, JIP: true
27.01.2018 01:48:01: TOKEN [k76bqj1eqg57w8zmh] FOR reinnss(76561198120447448) OWNER: 13, ID: 1.61111e+008, JIP: true
27.01.2018 03:10:16: TOKEN [a4terpvp0bjb1f] FOR Drazah(76561198075056795) OWNER: 3, ID: 1.13633e+009, JIP: true
27.01.2018 03:12:58: TOKEN [bsi1hcx6yz1lf74] FOR Drazah(76561198075056795) OWNER: 4, ID: 1.30352e+009, JIP: true
27.01.2018 03:15:57: TOKEN [n3h12lt6k818hu7ez] FOR Wyvern(76561198117148413) OWNER: 5, ID: 8.13591e+008, JIP: true
27.01.2018 03:16:12: TOKEN [sr91xbt1n7cucj0riu] FOR ManticoreCMFx(76561198046943385) OWNER: 6, ID: 3.63026e+008, JIP: true
27.01.2018 03:31:33: TOKEN [t1woim4bxsnx1evf] FOR reinnss(76561198120447448) OWNER: 7, ID: 2.13732e+009, JIP: true
27.01.2018 04:48:10: TOKEN [hg4pm44ajg8t04rm] FOR Chibs(76561198094654051) OWNER: 8, ID: 1.83837e+009, JIP: true
27.01.2018 06:15:18: TOKEN [gdrwyp6trbqwyb3xzf] FOR Jason(76561198005489005) OWNER: 9, ID: 2.11595e+009, JIP: true
27.01.2018 06:41:43: TOKEN [x2b0ort2res65y2z] FOR Drazah(76561198075056795) OWNER: 10, ID: 9.38009e+008, JIP: true
27.01.2018 07:13:23: TOKEN [fpna2305sp318ehdm] FOR Jason(76561198005489005) OWNER: 3, ID: 1.28867e+009, JIP: true
27.01.2018 08:32:07: TOKEN [q7z6kigohgqfufpqe] FOR Drazah(76561198075056795) OWNER: 4, ID: 1.11967e+009, JIP: true
27.01.2018 08:47:00: TOKEN [aqcrdnu0whmz51p4k] FOR Flapjack(76561198051200922) OWNER: 5, ID: 7.54785e+008, JIP: true
27.01.2018 08:58:19: TOKEN [ldkc3ld1cgf7c4otd] FOR James(76561198184676858) OWNER: 6, ID: 1.64715e+009, JIP: true
27.01.2018 09:02:16: TOKEN [i7qlkw4qj5mk2qpblo] FOR Chibs(76561198094654051) OWNER: 7, ID: 2.07615e+009, JIP: true
27.01.2018 09:24:53: TOKEN [rn1087qf76iv3ohgq] FOR Wyvern(76561198117148413) OWNER: 8, ID: 1.53368e+009, JIP: true
27.01.2018 09:32:44: TOKEN [krkcct1zjn33e3efj4] FOR Robed Wolf(76561198143611001) OWNER: 10, ID: 8.8548e+008, JIP: true
27.01.2018 11:13:09: TOKEN [dysce1qjp7erd3hc1] FOR Drazah(76561198075056795) OWNER: 4, ID: 5.19669e+007, JIP: true
